iter	Logloss
0	0.6899136901
1	0.6863342524
2	0.6820196509
3	0.6782113314
4	0.6741007566
5	0.6710709333
6	0.6673977971
7	0.6629496217
8	0.6595841646
9	0.6560999155
10	0.6531878114
11	0.6502381563
12	0.6471710801
13	0.6436060071
14	0.6412017345
15	0.6377775669
16	0.6350456476
17	0.6328314543
18	0.6294591427
19	0.6262734532
20	0.6236665249
21	0.6206970215
22	0.6176979542
23	0.6145156622
24	0.6114227772
25	0.6091647148
26	0.6061980724
27	0.6031763554
28	0.600501895
29	0.5980107784
30	0.5950744152
31	0.5920731425
32	0.5893101692
33	0.5868566036
34	0.5846232772
35	0.582126677
36	0.5797685385
37	0.577863574
38	0.5755831003
39	0.5735288858
40	0.5717399716
41	0.5696277618
42	0.5669890642
43	0.5645087361
44	0.5624499321
45	0.560619235
46	0.5585386157
47	0.5566117167
48	0.5538864136
49	0.5521402955
50	0.5503301024
51	0.5483139753
52	0.5462337732
53	0.5443791747
54	0.5429856777
55	0.5412883759
56	0.5394003391
57	0.5380861163
58	0.5366344452
59	0.5347611308
60	0.5334082246
61	0.5320808887
62	0.5305932164
63	0.5291817188
64	0.5277563334
65	0.5265152454
66	0.5251390338
67	0.5239726305
68	0.522670269
69	0.520994246
70	0.5194134712
71	0.5178515911
72	0.5156055689
73	0.5144584179
74	0.512812376
75	0.5112921596
76	0.5101383328
77	0.5087242723
78	0.5075312853
79	0.5061371922
80	0.5048137903
81	0.5036881566
82	0.501968205
83	0.5008175373
84	0.5000329614
85	0.4989796281
86	0.4978599548
87	0.4965732098
88	0.4954255819
89	0.494115293
90	0.4929784536
91	0.491699636
92	0.4905970991
93	0.4894295335
94	0.4879947305
95	0.4869351089
96	0.485675633
97	0.4844782948
98	0.4834493995
99	0.4825644493
100	0.4818528891
101	0.4806561172
102	0.4796658158
103	0.4784156084
104	0.4774276912
105	0.476198554
106	0.4748415053
107	0.4742039442
108	0.4730365276
109	0.4721347392
110	0.4709639847
111	0.4700388312
112	0.4691980481
113	0.4681696892
114	0.4673159122
115	0.4663425088
116	0.4655704796
117	0.4647455215
118	0.463790834
119	0.4627509117
120	0.4620667398
121	0.4612461329
122	0.4606083035
123	0.4596994221
124	0.4592294693
125	0.4583913684
126	0.4572727084
127	0.4562938809
128	0.455416441
129	0.4545257688
130	0.4538114071
131	0.453263998
132	0.4526725411
133	0.4517371058
134	0.4510474205
135	0.4502153993
136	0.4496193528
137	0.4487219155
138	0.447853446
139	0.447060883
140	0.4462133348
141	0.4455164075
142	0.4449529648
143	0.4439533651
144	0.4433113039
145	0.442284584
146	0.4415081739
147	0.4408248961
148	0.4402436018
149	0.4394738972
150	0.4385015965
151	0.4377999902
152	0.4368786812
153	0.4359748363
154	0.4350751042
155	0.4345394075
156	0.4337289333
157	0.4329615831
158	0.4320828915
159	0.4314148128
160	0.430526495
161	0.4300048351
162	0.4292178154
163	0.4285101295
164	0.4276522398
165	0.4270767868
166	0.4265683591
167	0.4259487391
168	0.4252254963
169	0.4248507023
170	0.4242417812
171	0.4234980941
172	0.4231009781
173	0.4224204421
174	0.4218933582
175	0.4215405583
176	0.420990169
177	0.420245111
178	0.4195445478
179	0.4187962413
180	0.4182177186
181	0.417434454
182	0.4167960882
183	0.4162421823
184	0.4156760871
185	0.414947629
186	0.4141176939
187	0.4138628244
188	0.4133682549
189	0.4130275846
190	0.4121189415
191	0.411568284
192	0.4110605121
193	0.4106677771
194	0.4101083875
195	0.4095610976
196	0.4092119634
197	0.4086633325
198	0.4080866277
199	0.4075217247
