iter	Logloss
0	0.6888922384
1	0.6850676241
2	0.6803745805
3	0.6754927783
4	0.6716540542
5	0.6670855719
6	0.6637304411
7	0.6604020389
8	0.6572336034
9	0.6541182777
10	0.6512950261
11	0.6473606143
12	0.644243541
13	0.6410170518
14	0.6371619866
15	0.6342613979
16	0.6311879192
17	0.6276719024
18	0.6240947112
19	0.6206737484
20	0.6173209496
21	0.6138840866
22	0.6106801538
23	0.607110416
24	0.6035204496
25	0.600353427
26	0.5972275512
27	0.5946933596
28	0.5921452779
29	0.589236483
30	0.5865905217
31	0.5839777101
32	0.5809457154
33	0.5784343552
34	0.5764705774
35	0.5742726966
36	0.5716172837
37	0.5690973931
38	0.5665169428
39	0.5647549159
40	0.5628836338
41	0.5609114309
42	0.5587789645
43	0.5568562425
44	0.5546093953
45	0.5521810479
46	0.5499654771
47	0.5480608902
48	0.5460015523
49	0.543622921
50	0.5416921955
51	0.5396877686
52	0.5379878948
53	0.5359842558
54	0.5339119963
55	0.5325350334
56	0.5310163174
57	0.5295453187
58	0.5280696197
59	0.5264046803
60	0.5246065356
61	0.5224680161
62	0.5210206739
63	0.5194976817
64	0.5183006991
65	0.5162825854
66	0.5149571947
67	0.5129479158
68	0.5118615625
69	0.5104466194
70	0.509198484
71	0.5069149893
72	0.5054541369
73	0.5034668569
74	0.5021117975
75	0.5011522597
76	0.4998391313
77	0.4982915895
78	0.4972061028
79	0.4958186758
80	0.4946314687
81	0.4936336201
82	0.4925191684
83	0.4911664337
84	0.4899382364
85	0.4888566301
86	0.4878325149
87	0.4861875168
88	0.4843950693
89	0.4831367007
90	0.481547348
91	0.4800322183
92	0.4789811029
93	0.4775304841
94	0.4767764943
95	0.475714259
96	0.4747369091
97	0.4736836175
98	0.4728053939
99	0.4716189125
100	0.470832848
101	0.4697103737
102	0.4683685611
103	0.4670452352
104	0.4661918065
105	0.4650091771
106	0.4636177949
107	0.4627092953
108	0.4619493775
109	0.46085943
110	0.4595125624
111	0.4587969738
112	0.4578144827
113	0.4565645832
114	0.4555817854
115	0.4545583576
116	0.4535597066
117	0.452648989
118	0.4521518326
119	0.451140895
120	0.4501393071
121	0.4490665372
122	0.4483100898
123	0.4473028018
124	0.4464017619
125	0.4456589449
126	0.4450702695
127	0.4443593912
128	0.4435923279
129	0.4430117268
130	0.4423183153
131	0.4415661214
132	0.4406488046
133	0.4400577082
134	0.4391643015
135	0.4387252552
136	0.4378820353
137	0.4373256863
138	0.4363503105
139	0.4353357007
140	0.4346165528
141	0.4337588972
142	0.432761034
143	0.4320013934
144	0.4310353373
145	0.4304362377
146	0.4298083024
147	0.4294297709
148	0.4285646515
149	0.4278321343
150	0.4271596965
151	0.4262645578
152	0.4255686842
153	0.4249372244
154	0.4242600992
155	0.4234365178
156	0.4228187523
157	0.4220759062
158	0.4215406229
159	0.4208232307
160	0.4202375528
161	0.4194440945
162	0.4188456715
163	0.4183211944
164	0.4177135405
165	0.4171895983
166	0.416500159
167	0.4161096646
168	0.4155632769
169	0.4145936708
170	0.4138345493
171	0.4132460929
172	0.412629731
173	0.4120094831
174	0.4112463254
175	0.4106015809
176	0.4102366089
177	0.4096117451
178	0.4089426233
179	0.4085527171
180	0.4079951636
181	0.407447809
182	0.4068113129
183	0.4062180516
184	0.4056822409
185	0.4052301681
186	0.4045605517
187	0.4040053202
188	0.4036057744
189	0.4028563875
190	0.4021177004
